,Name,Line
0,michael,all right jim your quarterlies look very good how are things at the library
1,jim,oh i told you i couldnt close it so
2,michael,so youve come to the master for guidance is this what youre saying grasshopper
3,jim,actually you called me in here but yeah
4,michael,all right well let me show you how its done
5,michael,on the phone yes id like to speak to your office manager please yes hello this is michael scott i am the regional manager of dunder mifflin paper products just wanted to talk to you manageramanger quick cut scene all right done deal thank you very much sir youre a gentleman and a scholar oh im sorry ok im sorry my mistake hangs up that was a woman i was talking to so she had a very low voice probably a smoker so clears throat so thats the way its done
6,michael,ive uh ive been at dunder mifflin for  years the last four as regional manager if you want to come through here see we have the entire floor so this is my kingdom as far as the eye can see this is our receptionist pam pam pampam pam beesly pam has been with us for  forever right pam
7,pam,well i dont know
8,michael,if you think shes cute now you should have seen her a couple of years ago growls
9,pam,what
10,michael,any messages
11,pam,uh yeah just a fax
12,michael,oh pam this is from corporate how many times have i told you theres a special filing cabinet for things from corporate
13,pam,you havent told me
14,michael,its called the wastepaper basket look at that look at that face
15,michael,people say i am the best boss they go god weve never worked in a place like this before youre hilarious and you get the best out of us shows the camera his worlds best boss mug i think that pretty much sums it up i found it at spencer gifts
16,dwight,singing shall i play for you pa rum pump um pum imitates heavy drumming i have no gifts for you pa rum pump um pum imitates heavy drumming
17,jim,my job is to speak to clients on the phone about uh quantities and type of copier paper you know whether we can supply it to them whether they can pay for it and im boring myself just talking about this
18,michael,whassup
19,jim,whassup i still love that after seven years
20,michael,whassup
21,dwight,whassup
22,michael,whassup
23,dwight,whassup
24,michael,strains grunts what
25,jim,nothing
26,michael,ok all right see you later
27,jim,all right take care
28,michael,back to work
29,jan,on her cell phone just before lunch that would be great
30,michael,corporate really doesnt really interfere with me at all jan levinson gould walking out of his office jan hello  i call her hillary rodham clinton right not to her face because well not because im scared of her because im not but um yeah
31,jan,alright was there anything you wanted to add to the agenda
32,michael,um me no get an agenda
33,jan,what im sorry
34,michael,i didnt get any agenda
35,jan,well i faxed one over to you this morning
36,michael,really i didnt looks at pam did we get a fax this morning
37,pam,uh yeah the one
38,michael,why isnt it in my hand a company runs on efficiency of communication right so whats the problem pam why didnt i get it
39,pam,you put in the garbage can that was a special filing cabinet
40,michael,yeah that was a joke that was a joke that was actually my brothers and it was supposed to be with bills and it doesnt work great with faxes
41,jan,do you want to look at mine
42,michael,yeah yeah lovely thank you
43,jan,ok since the last meeting ellen and the board have decided we cant justify a scranton branch and a stamford branch
44,michael,ok
45,jan,michael dont panic
46,michael,no no no no this is good this is good this is fine excellent
47,jan,no no no michael listen ok dont panic we havent made we havent decided
48,michael,all the alarm bells are kind of going ringiedingieding
49,jan,ive spoken to josh in stamford ive told him the same as you and its up to either him or you to convince me that your branch can incorporate the other
50,michael,ok no problem
51,jan,this does however mean that there is going to be downsizing
52,michael,me no wanna hear that jan because downsizing is a bitch it is a real bitch and i wouldnt wish that on joshs men i certainly wouldnt wish it on my men or women present company excluded sorry uh is josh concerned about downsizing himself not downsizing himself but is he concerned about downsizing
53,michael,question how long do we have to telephone rings oh uh todd packer terrific rep do you mind if i take it
54,jan,go ahead
55,michael,packman
56,todd,hey you big queen
57,michael,oh thats not appropriate
58,todd,hey is old godzillary coming in today
59,michael,uh i dont know what you mean
60,todd,ive been meaning to ask her one question does the carpet match the drapes
61,michael,oh my god oh thats horrifying horrible horrible person
62,jan,so do you think we could keep a lid on this for now i dont want to worry people unnecessarily
63,michael,no absolutely under this regime it will not leave this office zips his lips like that
64,phyllis,so what does downsizing actually mean
65,stanley,well
66,oscar,you guys better update your resumes just like im doing
67,angela,i bet its gonna be me probably gonna be me
68,kevin,yeah itll be you
69,pam,i have an important question for you
70,jim,yes
71,pam,are you going to angelas cat party on sunday
72,jim,yeah stop that is ridiculous
73,michael,am i going to tell them no i am not going to tell them i dont see the point of that as a doctor you would not tell a patient if they had cancer
74,michael,hey
75,ryan,hey
76,pam,this is mr scott
77,michael,guilty guilty as charged
78,ryan,ryan howard from the temp agency daniqua sent me down to start today
79,michael,howard like moe howard three stooges
80,ryan,yup
81,michael,watch this this is moe nyucknyucknyucknyucknyuck mee hold hand up for a high five ah right here three stooges oh pam its a guy thing pam im sort of a student of comedy watch this here we go yelling in cod german im hitler adolf hitler continues with cod german
82,pam,i dont think it would be the worst thing if they let me go because then i might i dont think its many little girls dream to be a receptionist i like to do illustrations um mostly watercolor a few oil pencil um jim thinks theyre good
83,pam,dunder mifflin this is pam
84,jim,sure mr davis let me call you right back yeah something just came up two minutes thank you very much dwight what are you doing
85,dwight,what
86,jim,what are you doing
87,dwight,just clearing my desk i cant concentrate
88,jim,its not on your desk
89,dwight,its overlapping its all spilling over the edge one word two syllables demarcation
90,dwight,you cant do that
91,jim,why not
92,dwight,safety violation i could fall and pierce an organ
93,jim,crosses fingers well see dwight begins smashing pencils with his phone this is why the whole downsizing thing just doesnt bother me
94,dwight,downsizing
95,dwight,downsizing i have no problem with that i have been recommending downsizing since i first got here i even brought it up in my interview i say bring it on
96,pam,you just still have these messages from yesterday
97,michael,relax everythings under control uh yeah yeah thats important right oh this is so important i should run to answer it imitating sixmillion dollar man sound effect
98,pam,what
99,michael,come on sixmillion dollar man steve austin actually that would be a good salary for me dont you think six million dollars memo to jan i deserve a raise
100,pam,dont we all
101,michael,im sorry
102,pam,nothing
103,michael,if youre unhappy with your compensation maybe you should take it up with hr ok not today ok pam just be professional sighs
104,michael,i think im a role model here i think i garner peoples respect imitating a pa attention all dunder mifflin employees please we have a meeting in the conference room asap
105,michael,people i respect heroes of mine would be bob hope abraham lincoln definitely bono and probably god would be the fourth one and i just think all those people really helped the world in so many ways that its really beyond words its really incalculable
106,michael,now i know theres some rumors out there and i just kind of want to set the record straight
107,dwight,im assistant regional manager i should know first
108,michael,assistant to the regional manager
109,dwight,ok um can you just tell me please just tell me quietly can you whisper it in my ear
110,michael,im about to tell everybody im just about to tell everybody
111,oscar,cant you just tell us
112,dwight,please ok do you want me to tell em
113,michael,you dont know what it is laughs
114,dwight,ok you tell em with my permission permission granted
115,michael,i dont need your permission
116,dwight,go ahead
117,michael,corporate has deemed it appropriate to enforce an ultimatum upon me and jan is thinking about downsizing either the stamford branch or this branch
118,ryan,i heard they might be closing this branch down thats just the rumor going around this is my first day i dont really know
119,oscar,yeah but michael what if they downsize here
120,michael,not gonna happen
121,stanley,it could be out of your hands michael
122,michael,it wont be out of my hands stanley ok i promise you that
123,stanley,can you promise that
124,dwight,on his mothers grave
125,michael,no
126,phyllis,what
127,michael,well yeah it is a promise and frankly im a little insulted that you have to keep asking about it
128,stanley,its just that we need to know
129,michael,i know hold on a second i think pam wanted to say something pam you had a look that you wanted to ask a question just then
130,pam,i was in the meeting with jan and she did say that it could be this branch that gets the axe
131,jan,are you sure about that
132,michael,well pam maybe you should stick to the ongoing confidentiality agreement of meetings
133,dwight,pam information is power
134,stanley,you cant say for sure whether itll be us or them can you
135,michael,no stanley no you did not see me in there with her i said if corporate wants to come in here and interfere then theyre gonna have to go through me right you can go mess with joshs people but im the head of this family and you aint gonna be messing with my chillin
136,jim,if i left what would i do with all this useless information in my head you know tonnage price of manila folders um pams favorite flavor of yogurt which is mixed berry
137,pam,jim said mixed berries well yeah hes on to me um laughs
138,michael,watch out for this guy dwight schrute in the building this is ryan the new temp
139,ryan,whats up nice to meet you
140,michael,introduce yourself be polite
141,dwight,dwight schrute assistant regional manager
142,michael,assistant to the regional manager so uh dwight tell him about the kung fu and the car and everything
143,dwight,uh yeah i got a  z bought it for  fixed it up its now worth three grand
144,michael,thats his profit
145,dwight,new engine new suspension i got a respray ive got some photos
146,dwight,damn it jim
147,michael,ok hold on hold on the judge is in session what is the problem here
148,dwight,he put my stuff in jello again
149,pam,laughing
150,dwight,thats real professional thanks thats the third time and it wasnt funny the first two times either jim
151,dwight,its ok here but people sometimes take advantage because its so relaxed im a volunteer sheriffs deputy on the weekends and you cannot screw around there thats sort of one of the rules
152,michael,what is that
153,dwight,that is my stapler
154,michael,no no no do not take it out you have to eat it out of there because there are starving people in the world turns to camera which i hate and it is a waste of that kind of food
155,dwight,ok you know what you can be a witness points to ryan can you reprimand him
156,jim,how do you know it was me
157,dwight,its always you are you going to discipline him or not
158,michael,discipline kinky laughs all right heres the deal you guys the thing about a practical joke is you have to know when to start and as well as when to stop
159,dwight,yeah
160,michael,and yeah jim this is the time to stop putting dwights personal effects into jello
161,jim,ok dwight im sorry because i have always been your biggest flan
162,michael,laughing nice thats the way it is around here it just kind of goes round and round
163,ryan,you shouldve put him in custardy
164,michael,hey yes new guy he scores
165,dwight,ok thats great i guess what im most concerned with is damage to company property thats all
166,michael,pudding pudding im trying to think of another dessert to do
167,jim,do you like going out at the end of the week for a drink
168,pam,yeah
169,jim,thats why were all going out so we can have an endoftheweekdrink
170,pam,so when are we going out
171,jim,tonight hopefully
172,pam,ok yeah
173,roy,hey man
174,jim,whats going on
175,roy,hey baby
176,pam,hey
177,pam,roys my fiance weve been engaged about three years we were supposed to get married in september but i think were gonna get married in the spring
178,pam,do you mind if i go out for a drink with these guys
179,roy,no no come on lets get out of here and go home
180,pam,ok im gonna be a few minutes so its only twenty past five i still have to do my faxes
181,jim,you know what you should come with us because you know were all going out and it could be a good chance for you to see what people are like outside the office i think it could be fun
182,roy,it sounds good seriously weve gotta get going
183,jim,yeah yeah
184,jim,um whats in the bag
185,roy,just tell her ill talk to her later
186,jim,no definitely all right dude awesome will do
187,jim,do i think ill be invited to the wedding scratches head
188,michael,so have you felt the vibe yet we work hard we play hard sometimes we play hard when we should be working hard right i guess the atmosphere that ive created here is that im a friend first and a boss second and probably an entertainer third knock at door just a second right oh hey do you like the jamie kennedy experiment punkd and all that kind of stuff
189,ryan,yeah
190,michael,you are gonna be my accomplice just go along with it ok
191,ryan,all right
192,michael,just follow my lead dont pimp me all right come in so uh corporate just said that i dont want to
193,pam,you got a fax
194,michael,oh thank you pam can you come in here for a sec just have a seat i was gonna call you in anyway you know ryan as you know there is going to be downsizing and you have made my life so much easier in that i am going to have to let you go first
195,pam,what why
196,michael,why well theft and stealing
197,pam,stealing what am i supposed to have stolen
198,michael,postit notes
199,pam,postit notes what are those worth  cents
200,michael, cents yeah if you steal a thousand postit notes at  cents apiece and you know  youve made a profit margin youre gonna run us out of business pam
201,pam,are you serious
202,michael,yeah i am
203,pam,i cant believe this i mean i have never even stolen as much as a paperclip and youre firing me
