,Name,Line
0,michael, all right jim. your quarterlies look very good. how are things at the library?
1,jim," oh, i told you. i couldn't close it. so..."
2,michael," so you've come to the master for guidance? is this what you're saying, grasshopper?"
3,jim," actually, you called me in here, but yeah."
4,michael," all right. well, let me show you how it's done."
5,michael," [on the phone] yes, i'd like to speak to your office manager, please. yes, hello. this is michael scott. i am the regional manager of dunder mifflin paper products. just wanted to talk to you manager-a-manger. [quick cut scene] all right. done deal. thank you very much, sir. you're a gentleman and a scholar. oh, i'm sorry. ok. i'm sorry. my mistake. [hangs up] that was a woman i was talking to, so... she had a very low voice. probably a smoker, so... [clears throat] so that's the way it's done."
6,michael," i've, uh, i've been at dunder mifflin for 12 years, the last four as regional manager. if you want to come through here... see we have the entire floor. so this is my kingdom, as far as the eye can see. this is our receptionist, pam. pam! pam-pam! pam beesly. pam has been with us for...  forever. right, pam?"
7,pam, well. i don't know.
8,michael," if you think she's cute now, you should have seen her a couple of years ago. [growls]"
9,pam, what?
10,michael, any messages?
11,pam," uh, yeah. just a fax."
12,michael," oh! pam, this is from corporate. how many times have i told you? there's a special filing cabinet for things from corporate."
13,pam, you haven't told me.
14,michael, it's called the wastepaper basket! look at that! look at that face.
15,michael," people say i am the best boss. they go, ""god we've never worked in a place like this before. you're hilarious."" ""and you get the best out of us."" [shows the camera his world's best boss mug] i think that pretty much sums it up. i found it at spencer gifts."
16,dwight, [singing] shall i play for you? pa rum pump um pum [imitates heavy drumming] i have no gifts for you. pa rum pump um pum [imitates heavy drumming]
17,jim," my job is to speak to clients on the phone about... uh, quantities and type of copier paper. you know, whether we can supply it to them. whether they can pay for it. and... i'm boring myself just talking about this."
18,michael, whassup!
19,jim, whassup! i still love that after seven years.
20,michael, whassup!
21,dwight, whassup!
22,michael, whass...up!
23,dwight, whassup.
24,michael," [strains, grunts] what?"
25,jim, nothing.
26,michael, ok. all right. see you later.
27,jim, all right. take care.
28,michael, back to work.
29,jan, [on her cell phone] just before lunch. that would be great.
30,michael," corporate really doesn't really interfere with me at all. jan levinson gould. [walking out of his office] jan, hello.  i call her hillary rodham clinton. right? not to her face, because... well, not because i'm scared of her. because i'm not. but, um... yeah."
31,jan," alright, was there anything you wanted to add to the agenda?"
32,michael, um... me no get an agenda.
33,jan, what? i'm sorry?
34,michael, i didn't get any agenda.
35,jan," well, i faxed one over to you this morning."
36,michael, really? i didn't... [looks at pam] did we get a fax this morning?
37,pam," uh, yeah, the one..."
38,michael," why isn't it in my hand? a company runs on efficiency of communication, right? so what's the problem, pam? why didn't i get it?"
39,pam, you put in the garbage can that was a special filing cabinet.
40,michael," yeah, that was a joke. that was a joke that was actually my brother's, and... it was supposed to be with bills and it doesn't work great with faxes."
41,jan, do you want to look at mine?
42,michael," yeah, yeah. lovely. thank you."
43,jan," ok. since the last meeting, ellen and the board have decided we can't justify a scranton branch and a stamford branch."
44,michael, ok...
45,jan," michael, don't panic."
46,michael," no, no, no, no, this is good. this is good. this is fine. excellent."
47,jan,"  no, no, no, michael, listen ok. don't panic. we haven't made... we haven't decided."
48,michael, all the alarm bells are kind of going... ringie-dingie-ding!
49,jan, i've spoken to josh in stamford. i've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.
50,michael, ok. no problem.
51,jan," this does, however, mean that there is going to be downsizing. "
52,michael," me no wanna hear that, jan. because downsizing is a bitch. it is a real bitch. and i wouldn't wish that on josh's men. i certainly wouldn't wish it on my men. or women, present company excluded. sorry. uh, is josh concerned about downsizing himself? not downsizing himself but is he concerned about downsizing?"
53,michael,"  question. how long do we have to... [telephone rings] oh uh, todd packer, terrific rep. do you mind if i take it?"
54,jan, go ahead.
55,michel, packman.
56,todd packer," hey, you big queen."
57,michael," oh, that's not appropriate."
58,todd packer," hey, is old godzillary coming in today?"
59,michael," uh, i don't know what you mean."
60,todd packer, i've been meaning to ask her one question. does the carpet match the drapes?
61,michael," oh, my god! oh! that's... horrifying. horrible. horrible person."
62,jan, so do you think we could keep a lid on this for now? i don't want to worry people unnecessarily.
63,michael," no, absolutely. under this regime, it will not leave this office. [zips his lips] like that."
64,phyllis, so what does downsizing actually mean?
65,stanley, well...
66,oscar, you guys better update your resumes just like i'm doing.
67,angela, i bet it's gonna be me. probably gonna be me.
68,kevin," yeah, it'll be you."
69,pam, i have an important question for you.
70,jim, yes?
71,pam, are you going to angela's cat party on sunday?
72,jim," yeah, stop. that is ridiculous."
73,michael," am i going to tell them? no, i am not going to tell them. i don't see the point of that. as a doctor, you would not tell a patient if they had cancer."
74,michael, hey.
75,ryan, hey.
76,pam, this is mr. scott.
77,michael, guilty! guilty as charged!
78,ryan, ryan howard from the temp agency. daniqua sent me down to start today.
79,michael," howard, like moe howard. three stooges."
80,ryan, yup.
81,michael," watch this. this is moe. nyuck-nyuck-nyuck-nyuck-nyuck. mee! [hold hand up for a high five] ah, right here. three stooges. oh, pam. it's a guy thing, pam. i'm sort of a student of comedy. watch this. here we go. [yelling in cod german] i'm hitler. adolf hitler. [continues with cod german]"
82,pam," i don't think it would be the worst thing if they let me go because then i might... i don't think it's many little girls' dream to be a receptionist. i like to do illustrations. um... mostly watercolor. a few oil pencil. um, jim thinks they're good."
83,pam, dunder mifflin. this is pam.
84,jim," sure. mr. davis, let me call you right back. yeah, something just came up. two minutes. thank you very much. dwight, what are you doing?"
85,dwight, what?
86,jim, what are you doing?
87,dwight, just clearing my desk. i can't concentrate.
88,jim, it's not on your desk.
89,dwight," it's overlapping. it's all spilling over the edge. one word, two syllables. demarcation."
90,dwight, you can't do that.
91,jim, why not?
92,dwight, safety violation. i could fall and pierce an organ.
93,jim, [crosses fingers] we'll see. [dwight begins smashing pencils with his phone] this is why the whole downsizing thing just doesn't bother me.
94,dwight, downsizing?
95,dwight," downsizing? i have no problem with that. i have been recommending downsizing since i first got here. i even brought it up in my interview. i say, bring it on."
96,pam, you just still have these messages from yesterday.
97,michael," relax. everything's under control. uh, yeah. yeah. that's important. right. oh this is so important, i should run to answer it. [imitating six-million dollar man sound effect]"
98,pam, what?
99,michael," come on. six-million dollar man! steve austin! actually, that would be a good salary for me, don't you think? six million dollars? memo to jan. i deserve a raise."
100,pam, don't we all?
101,michael, i'm sorry?
102,pam, nothing.
103,michael,"  if you're unhappy with your compensation, maybe you should take it up with hr. ok. not today, ok? pam, just be professional. [sighs]"
104,michael," i think i'm a role model here. i think i garner people's respect. [imitating a pa] attention all dunder mifflin employees, please. we have a meeting in the conference room, asap."
105,michael," people i respect, heroes of mine, would be bob hope... abraham lincoln, definitely. bono. and probably god would be the fourth one. and i just think all those people really helped the world in so many ways that it's really beyond words. it's really incalculable."
106,michael, now i know there's some rumors out there and i just kind of want to set the record straight.
107,dwight, i'm assistant regional manager. i should know first.
108,michael, assistant to the regional manager.
109,dwight," ok, um, can you just tell me please? just tell me quietly. can you whisper it in my ear?"
110,michael, i'm about to tell everybody. i'm just about to tell everybody.
111,oscar, can't you just tell us.
112,dwight," please, ok? do you want me to tell 'em?"
113,michael, you don't know what it is. [laughs]
114,dwight, ok. you tell 'em. with my permission. permission granted.
115,michael, i don't need your permission. 
116,dwight, go ahead.
117,michael, corporate has deemed it appropriate to enforce an ultimatum upon me. and jan is thinking about downsizing either the stamford branch or this branch.
118,ryan, i heard they might be closing this branch down. that's just the rumor going around. this is my first day. i don't really know.
119,oscar," yeah but michael, what if they downsize here?"
120,michael, not gonna happen.
121,stanley, it could be out of your hands michael.
122,michael," it won't be out of my hands stanley, ok. i promise you that."
123,stanley, can you promise that?
124,dwight, on his mother's grave.
125,michael, no.
126,phyllis, what?
127,michael,"  well, yeah, it is a promise. and frankly, i'm a little insulted that you have to keep asking about it."
128,stanley, it's just that we need to know.
129,michael," i know. hold on a second. i think pam wanted to say something. pam, you had a look that you wanted to ask a question just then."
130,pam, i was in the meeting with jan and she did say that it could be this branch that gets the axe.
131,man, are you sure about that?
132,michael," well, pam maybe you should stick to the ongoing confidentiality agreement of meetings."
133,dwight," pam, information is power."
134,stanley," you can't say for sure whether it'll be us or them, can you?"
135,michael," no, stanley. no, you did not see me in there with her. i said if corporate wants to come in here and interfere, then they're gonna have to go through me. right? you can go mess with josh's people, but i'm the head of this family, and you ain't gonna be messing with my chillin."
136,jim," if i left, what would i do with all this useless information in my head? you know? tonnage price of manila folders? um, pam's favorite flavor of yogurt, which is mixed berry."
137,pam," jim said mixed berries? well, yeah, he's on to me. um... [laughs]"
138,michael," watch out for this guy. dwight schrute in the building. this is ryan, the new temp."
139,ryan, what's up? nice to meet you.
140,michael, introduce yourself. be polite. 
141,dwight," dwight schrute, assistant regional manager."
142,michael," assistant to the regional manager. so, uh, dwight tell him about the kung fu and the car and everything."
143,dwight," uh... yeah i got a '78 280z. bought it for $1,200. fixed it up. it's now worth three grand."
144,michael, that's his profit.
145,dwight," new engine, new suspension, i got a respray. i've got some photos."
146,dwight, damn it! jim!
147,michael," ok. hold on, hold on. the judge is in session. what is the problem here?"
148,dwight, he put my stuff in jell-o again.
149,pam, [laughing]
150,dwight, that's real professional thanks. that's the third time and it wasn't funny the first two times either jim.
151,dwight," it's ok here, but people sometimes take advantage because it's so relaxed. i'm a volunteer sheriff's deputy on the weekends. and you cannot screw around there. that's sort of one of the rules."
152,michael, what is that?
153,dwight, that is my stapler.
154,michael," no, no, no. do not take it out. you have to eat it out of there, because there are starving people in the world [turns to camera] which i hate, and it is a waste of that kind of food."
155,dwight," ok you know what, you can be a witness. [points to ryan] can you reprimand him?"
156,jim,  how do you know it was me?
157,dwight, it's always you. are you going to discipline him or not?
158,michael," discipline. kinky! [laughs] all right, here's the deal you guys. the thing about a practical joke is you have to know when to start and as well as when to stop."
159,dwight, yeah.
160,michael,"  and yeah, jim this is the time to stop putting dwight's personal effects into jell-o."
161,jim," ok. dwight, i'm sorry, because i have always been your biggest flan."
162,michael, [laughing] nice. that's the way it is around here. it just kind of goes round and round.
163,ryan, you should've put him in custardy.
164,michael, hey! yes! new guy! he scores.
165,dwight," ok, that's great. i guess what i'm most concerned with is damage to company property. that's all."
166,michael, pudding. pudding... i'm trying to think of another dessert to do.
167,jim, do you like going out at the end of the week for a drink?
168,pam, yeah.
169,jim, that's why we're all going out. so we can have an end-of-the-week-drink.
170,pam, so when are we going out?
171,jim," tonight, hopefully."
172,pam, ok. yeah.
173,roy," hey, man."
174,jim, what's going on?
175,roy," hey, baby."
176,pam, hey.
