Name,Line
michael,all right jim your quarterlies look very good how are things at the library
jim,oh i told you i couldnt close it so
michael,so youve come to the master for guidance is this what youre saying grasshopper
jim,actually you called me in here but yeah
michael,all right well let me show you how its done
michael,on the phone yes id like to speak to your office manager please yes hello this is michael scott i am the regional manager of dunder mifflin paper products just wanted to talk to you manageramanger quick cut scene all right done deal thank you very much sir youre a gentleman and a scholar oh im sorry ok im sorry my mistake hangs up that was a woman i was talking to so she had a very low voice probably a smoker so clears throat so thats the way its done
michael,ive uh ive been at dunder mifflin for 12 years the last four as regional manager if you want to come through here see we have the entire floor so this is my kingdom as far as the eye can see this is our receptionist pam pam pampam pam beesly pam has been with us for  forever right pam
pam,well i dont know
michael,if you think shes cute now you should have seen her a couple of years ago growls
pam,what
michael,any messages
pam,uh yeah just a fax
michael,oh pam this is from corporate how many times have i told you theres a special filing cabinet for things from corporate
pam,you havent told me
michael,its called the wastepaper basket look at that look at that face
michael,people say i am the best boss they go god weve never worked in a place like this before youre hilarious and you get the best out of us shows the camera his worlds best boss mug i think that pretty much sums it up i found it at spencer gifts
dwight,singing shall i play for you pa rum pump um pum imitates heavy drumming i have no gifts for you pa rum pump um pum imitates heavy drumming
jim,my job is to speak to clients on the phone about uh quantities and type of copier paper you know whether we can supply it to them whether they can pay for it and im boring myself just talking about this
michael,whassup
jim,whassup i still love that after seven years
michael,whassup
dwight,whassup
michael,whassup
dwight,whassup
michael,strains grunts what
jim,nothing
michael,ok all right see you later
jim,all right take care
michael,back to work
jan,on her cell phone just before lunch that would be great
michael,corporate really doesnt really interfere with me at all jan levinson gould walking out of his office jan hello  i call her hillary rodham clinton right not to her face because well not because im scared of her because im not but um yeah
jan,alright was there anything you wanted to add to the agenda
michael,um me no get an agenda
jan,what im sorry
michael,i didnt get any agenda
jan,well i faxed one over to you this morning
michael,really i didnt looks at pam did we get a fax this morning
pam,uh yeah the one
michael,why isnt it in my hand a company runs on efficiency of communication right so whats the problem pam why didnt i get it
pam,you put in the garbage can that was a special filing cabinet
michael,yeah that was a joke that was a joke that was actually my brothers and it was supposed to be with bills and it doesnt work great with faxes
jan,do you want to look at mine
michael,yeah yeah lovely thank you
jan,ok since the last meeting ellen and the board have decided we cant justify a scranton branch and a stamford branch
michael,ok
jan,michael dont panic
michael,no no no no this is good this is good this is fine excellent
jan,no no no michael listen ok dont panic we havent made we havent decided
michael,all the alarm bells are kind of going ringiedingieding
jan,ive spoken to josh in stamford ive told him the same as you and its up to either him or you to convince me that your branch can incorporate the other
michael,ok no problem
jan,this does however mean that there is going to be downsizing
michael,me no wanna hear that jan because downsizing is a bitch it is a real bitch and i wouldnt wish that on joshs men i certainly wouldnt wish it on my men or women present company excluded sorry uh is josh concerned about downsizing himself not downsizing himself but is he concerned about downsizing
michael,question how long do we have to telephone rings oh uh todd packer terrific rep do you mind if i take it
jan,go ahead
michael,packman
todd,hey you big queen
michael,oh thats not appropriate
todd,hey is old godzillary coming in today
michael,uh i dont know what you mean
todd,ive been meaning to ask her one question does the carpet match the drapes
michael,oh my god oh thats horrifying horrible horrible person
jan,so do you think we could keep a lid on this for now i dont want to worry people unnecessarily
